"x","y_true","lo","hi","mean"
0,0.54402111088937,-1.13810851725508,0.448607635630578,-0.128094847696084
0.202020202020202,0.566618935676091,-0.913834937563701,0.566238967460652,0.0535944807536274
0.404040404040404,0.574387236368501,-0.619648369365342,0.778124899255221,0.23256228210288
0.606060606060606,0.575226926999465,-0.36331846091119,0.942746282867748,0.410784124508644
0.808080808080808,0.577320732755756,-0.224696699503093,1.00854796968555,0.59032640905451
1.01010101010101,0.588800369512403,0.0561851702341478,1.22628867070227,0.773090411218004
1.21212121212121,0.617415798096715,0.308236661903544,1.41696716249584,0.960497932170227
1.41414141414141,0.67022000588457,0.560733855006397,1.61152817564262,1.15312977138289
1.61616161616162,0.753282136779833,0.821041055892044,1.82056916785305,1.35049456297696
1.81818181818182,0.871440637598464,1.04930572608219,1.99093983410549,1.55113151521649
2.02020202020202,1.0281064612697,1.28153818032857,2.16347287482439,1.75304181301389
2.22222222222222,1.22512433127835,1.51064389290597,2.35442213162437,1.95419156584843
2.42424242424242,1.4626977102156,1.70753795133162,2.5096632874992,2.15282820575798
2.62626262626263,1.73938052423355,1.94354454204189,2.73121389450142,2.34758199634848
2.82828282828283,2.05213597999925,2.15894726122289,2.94760536063682,2.5374863904295
3.03030303030303,2.39646008185412,2.32268541006374,3.13471191318755,2.72202710678257
3.23232323232323,2.76656482529758,2.44152416268292,3.25160371920251,2.90126978167122
3.43434343434343,3.15561361566588,2.62393317682226,3.44107811972801,3.07608413331339
3.63636363636364,3.55599933669335,2.79011184289054,3.62132290064353,3.24837918347094
3.83838383838384,3.95965375892101,2.94310647734375,3.79606528557619,3.42112667278679
4.04040404040404,4.35837570321466,3.09908292407269,3.98230190224823,3.59797895720229
4.24242424242424,4.74416461181815,3.23893896940563,4.16154295012004,3.7825168963181
4.44444444444444,5.10954595942327,3.42497126940282,4.38715130591845,3.97739265671225
4.64646464646465,5.44787526863362,3.56974830440149,4.55726028490079,4.18369356987301
4.84848484848485,5.75360836443499,3.7650946021127,4.78443526490152,4.40074506450029
5.05050505050505,6.02252687546388,3.98599162562816,5.04181048801252,4.62638439336779
5.25252525252525,6.25190981013769,4.17014046350624,5.26646026872525,4.85754875321824
5.45454545454545,6.44064422903638,4.36943670254043,5.5095610362421,5.09088633632781
5.65656565656566,6.58927051209749,4.57302557491946,5.76495450047919,5.32311713330594
5.85858585858586,6.69996037944673,4.78300811213369,6.00722053315415,5.55109585897927
6.06060606060606,6.77642855983525,4.98398669013793,6.23575482093093,5.77179135224029
6.26262626262626,6.82378169944146,5.18541947348193,6.45404477407845,5.98243005148973
6.46464646464646,6.84831065645258,5.3961006433786,6.67961910025632,6.18083673282905
6.66666666666667,6.85723462954215,5.58514225832399,6.85159225961806,6.36580376920814
6.86868686868687,6.85840752744633,5.78728060902899,7.02323071267202,6.53733199977436
7.07070707070707,6.85999852262988,5.93985497922822,7.16035004611807,6.69672133442542
7.27272727272727,6.87015978205778,6.09668699162311,7.27322158812466,6.84654770141705
7.47474747474747,6.8966948896409,6.33698593977138,7.45672783862559,6.99051812918247
7.67676767676768,6.94674144679123,6.52927090728281,7.57029341800918,7.13316073103135
7.87878787878788,7.0264807608482,6.72746623220961,7.69571998613329,7.27933386200434
8.08080808080808,7.14088642937795,6.95486495325917,7.82973962320838,7.43359755218684
8.28282828282828,7.29352204631394,7.20570685606736,7.98276013136331,7.59956287992437
8.48484848484848,7.48639625794809,7.41938676470167,8.14737258350504,7.77939779504458
8.68686868686869,7.71988106415939,7.63499215435309,8.34775549590966,7.97362769630505
8.88888888888889,7.99269668785893,7.85556986929561,8.60046116597156,8.18120089157856
9.09090909090909,8.30196362806483,8.0442314114043,8.83987732441677,8.3996936425821
9.29292929292929,8.64331977942359,8.27912156231776,9.15105569104275,8.62566768341333
9.49494949494949,9.01109785451156,8.49328932476413,9.42375810560675,8.85532340347905
9.6969696969697,9.39855589252206,8.7207707778584,9.72612614026162,9.08538130003714
9.8989898989899,9.7981514787318,8.92182170977433,9.9906687629369,9.31376938929478
10.1010101010101,10.2018485212682,9.13604731855636,10.2412849478697,9.53971633797625
10.3030303030303,10.6014441074779,9.33026611964992,10.4600464176519,9.7632825654028
10.5050505050505,10.9889021454884,9.5690363925876,10.7187190548665,9.98470838666038
10.7070707070707,11.3566802205764,9.77848153356229,10.961866019008,10.2039310628197
10.9090909090909,11.6980363719352,9.99371922675411,11.2078700883431,10.4204112948764
11.1111111111111,12.0073033121411,10.2286385611193,11.4395616917451,10.6332643442821
11.3131313131313,12.2801189358406,10.427952892372,11.6337987245309,10.8416149255089
11.5151515151515,12.5136037420519,10.5940613012471,11.7823953057971,11.0450133515239
11.7171717171717,12.7064779536861,10.8242642287878,11.9712851536809,11.2437223263513
11.9191919191919,12.859113570622,11.0391830743393,12.1398902268107,11.4387738002541
12.1212121212121,12.9735192391518,11.1949370352499,12.2528971241123,11.6318099996826
12.3232323232323,13.0532585532088,11.418266803778,12.4292637718053,11.8247623422196
12.5252525252525,13.1033051103591,11.6105369959389,12.584068471818,12.0194392440056
12.7272727272727,13.1298402179422,11.8397799362934,12.7622354977677,12.2171497829012
12.9292929292929,13.1400014773701,12.0157346833295,12.9097021811113,12.418511570364
13.1313131313131,13.1415924725537,12.1522987770306,13.032464752776,12.6234982842509
13.3333333333333,13.1427653704578,12.3144416075667,13.1794568310474,12.8316404161842
13.5353535353535,13.1516893435474,12.5440168899478,13.3986503530774,13.0422523674049
13.7373737373737,13.1762183005585,12.7670512384078,13.6159834086726,13.2546703599274
