"x","y_true","lo","hi","mean"
0,0,-0.294799054305582,0.898943956455224,0.308136550022214
0.202020202020202,0.202020202020202,-0.09440787118885,1.0406750556112,0.481342815175413
0.404040404040404,0.404040404040404,0.105983311927881,1.18112506200945,0.654549080328611
0.606060606060606,0.606060606060606,0.311200398447836,1.33038365189399,0.82775534548181
0.808080808080808,0.808080808080808,0.51184689625059,1.48299892586813,1.00096161063501
1.01010101010101,1.01010101010101,0.708629255007596,1.6243091115519,1.17416787578821
1.21212121212121,1.21212121212121,0.907079145276911,1.76559803295606,1.34737414094141
1.41414141414141,1.41414141414141,1.10722370729983,1.90870475645301,1.5205804060946
1.61616161616162,1.61616161616162,1.30751527693831,2.0609662319603,1.69378667124781
1.81818181818182,1.81818181818182,1.50604869229406,2.21073812657692,1.86699293640101
2.02020202020202,2.02020202020202,1.70471507077617,2.36235910477291,2.0401992015542
2.22222222222222,2.22222222222222,1.88931111516333,2.51745967013653,2.2134054667074
2.42424242424242,2.42424242424242,2.08333996420327,2.67257609544277,2.3866117318606
2.62626262626263,2.62626262626263,2.26582039022691,2.83306231747771,2.5598179970138
2.82828282828283,2.82828282828283,2.45089453749471,2.99710588099794,2.733024262167
3.03030303030303,3.03030303030303,2.64098041000404,3.16214039038438,2.9062305273202
3.23232323232323,3.23232323232323,2.82327671610689,3.32934847708055,3.07943679247339
3.43434343434343,3.43434343434343,2.99996421937361,3.49988876232233,3.25264305762659
3.63636363636364,3.63636363636364,3.17115228341008,3.67035007493445,3.4258493227798
3.83838383838384,3.83838383838384,3.33947024257205,3.84246949916167,3.599055587933
4.04040404040404,4.04040404040404,3.49717400767556,4.02207669975095,3.77226185308619
4.24242424242424,4.24242424242424,3.65451639338597,4.20868937021698,3.94546811823939
4.44444444444444,4.44444444444444,3.8139172146189,4.38860559565667,4.11867438339259
4.64646464646465,4.64646464646465,3.96807694054874,4.57926082923636,4.29188064854579
4.84848484848485,4.84848484848485,4.10943260549727,4.77001297412813,4.46508691369899
5.05050505050505,5,4.23093596210975,4.9113634166771,4.59739839791697
5.25252525252525,5,4.25190305339814,4.91800915190922,4.60702553932931
5.45454545454545,5,4.27453279456257,4.92158039493993,4.61665268074165
5.65656565656566,5,4.29536172794907,4.92364971257191,4.62627982215399
5.85858585858586,5,4.31649490878341,4.92670667456838,4.63590696356634
6.06060606060606,5,4.33705023668037,4.92738542554958,4.64553410497868
6.26262626262626,5,4.35788412073957,4.93721946442953,4.65516124639102
6.46464646464646,5,4.37753123499883,4.94042469931017,4.66478838780336
6.66666666666667,5,4.39594938716464,4.94402263165339,4.6744155292157
6.86868686868687,5,4.41692010676107,4.95061884160947,4.68404267062804
7.07070707070707,5,4.43700613084032,4.9525718615586,4.69366981204038
7.27272727272727,5,4.44955913133763,4.95456650168914,4.70329695345272
7.47474747474747,5,4.46104293905931,4.96106258649728,4.71292409486506
7.67676767676768,5,4.47169852809395,4.97017352753249,4.7225512362774
7.87878787878788,5,4.4865421297157,4.97805808023145,4.73217837768974
8.08080808080808,5,4.4999798471143,4.97889714056468,4.74180551910208
8.28282828282828,5,4.51501823235703,4.98325385534084,4.75143266051442
8.48484848484848,5,4.51978374708183,4.99044259288072,4.76105980192676
8.68686868686869,5,4.52778016803423,4.9989021976029,4.7706869433391
8.88888888888889,5,4.53949399578598,5.00841616559736,4.78031408475144
9.09090909090909,5,4.55168622035317,5.02038212956463,4.78994122616378
9.29292929292929,5,4.56040305334978,5.0360581647285,4.79956836757612
9.49494949494949,5,4.56548778633417,5.04353639519348,4.80919550898847
9.6969696969697,5,4.5662902773302,5.06342152711196,4.81882265040081
9.8989898989899,5,4.56991019870762,5.078031955484,4.82844979181315
10.1010101010101,5,4.58013468686141,5.09172784228933,4.8373773648426
10.3030303030303,5,4.59232457090868,5.09684347856458,4.84560536948916
10.5050505050505,5,4.60794376389994,5.10545168866075,4.85383337413572
10.7070707070707,5,4.62078932277763,5.11322879677371,4.86206137878229
10.9090909090909,5,4.6267620823856,5.12087672306828,4.87028938342885
11.1111111111111,5,4.64928630822941,5.12610547586966,4.87851738807541
11.3131313131313,5,4.65884882778687,5.13205681889319,4.88674539272198
11.5151515151515,5,4.66719149046288,5.13581530015106,4.89497339736854
11.7171717171717,5,4.67634952892992,5.14399877131672,4.9032014020151
11.9191919191919,5,4.68615479258897,5.14983379463161,4.91142940666167
12.1212121212121,5,4.69649036665686,5.15582920498985,4.91965741130823
12.3232323232323,5,4.70755205649767,5.1628942996228,4.92788541595479
12.5252525252525,5,4.71258474954103,5.17770654472206,4.93611342060136
12.7272727272727,5,4.71920176531469,5.19116901930502,4.94434142524792
12.9292929292929,5,4.72342633211241,5.20693259417013,4.95256942989448
13.1313131313131,5,4.73301074337343,5.224628240291,4.96079743454104
13.3333333333333,5,4.73625347240861,5.23552695963327,4.96902543918761
13.5353535353535,5,4.74052286565737,5.25091581614925,4.97725344383417
13.7373737373737,5,4.74481082949265,5.27327076638734,4.98548144848073
13.9393939393939,5,4.74903851092624,5.28084083067057,4.9937094531273
14.1414141414141,5,4.75263389251989,5.28825734931451,5.00193745777386
14.3434343434343,5,4.7557063371649,5.30251805096477,5.01016546242042
14.5454545454545,5,4.75990333241964,5.32113362161532,5.01839346706699
14.7474747474747,5,4.76186007493798,5.33965601648029,5.02662147171355
14.9494949494949,5,4.76388320391216,5.35844472519738,5.03484947636011
15.1515151515152,5.15151515151515,4.91908503881363,5.50282529217572,5.19069141496953
15.3535353535354,5.35353535353535,5.1277551893491,5.68456657926059,5.39573799823316
