"method","n","mean_cov","sd_cov","ci_lo","ci_hi","t_stat","p_t_gt","p_t_gt_holm","p_w_gt","p_w_gt_holm"
"CGP",25,0.8852,0.0776273147803014,0.858637763646179,Inf,-4.17378858095215,0.999830331474518,1,0.999613942753974,1
"SR",25,0.866,0.0633113997107419,0.844336332156182,Inf,-6.63387639380747,0.99999963366449,1,0.999994301277833,1
"BF",25,0.4804,0.0693108938046538,0.456683446769423,Inf,-33.8763485956135,1,1,0.999994306486014,1
