"method","n","mean_cov","sd_cov","ci_lo","ci_hi","t_stat","p_t_gt","p_t_gt_holm","p_w_gt","p_w_gt_holm"
"CGP",25,0.8628,0.149234714460142,0.811735400265949,Inf,-2.92157224662663,0.996264441525298,1,0.998881904218786,0.998881904218786
"SR",25,0.9468,0.0752617654146734,0.921047198849938,Inf,-0.212591345842659,0.583279479736368,1,0.210483707027841,0.420967414055682
"BF",25,0.9868,0.0337540121072049,0.975250173112147,Inf,5.45120382772882,6.66081730013224e-06,1.99824519003967e-05,0.000593475779860248,0.00178042733958074
