"method","n","mean_cov","sd_cov","ci_lo","ci_hi","t_stat","p_t_gt","p_t_gt_holm","p_w_gt","p_w_gt_holm"
"IP",25,0.392,0.0678232998312527,0.368792466343677,Inf,-41.1363057672163,1,1,0.999994322087544,1
"CGP",25,0.7592,0.107196082017954,0.722520028847796,Inf,-8.8995789961821,0.999999997724501,1,0.999994254231205,1
"SR",25,0.7708,0.107816201627276,0.733907838542398,Inf,-8.31043930760521,0.999999992009047,1,0.999994275179303,1
"BF",25,0.9224,0.108023145667954,0.88543702717225,Inf,-1.27750399367363,0.893177759327475,1,0.638978892304312,1
